         *         *         *         *         *         *         *     0.000         *         *         *         *    -0.401     0.712    1
         *    -1.000     0.000    -1.000    -3.000     0.000    -1.000    -2.000    -1.000     0.000    -1.000    -1.000    -1.194     0.328    2
     3.000     1.000     3.000     3.000     0.000     1.000     2.000     2.000     2.000     2.000     3.000     2.000     1.425     0.322    3
     3.000     1.000     2.000     1.000    -2.000     1.000     1.000     2.000     1.000     1.000     2.000     0.000     0.675     0.322    4
     0.000    -3.000     0.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000     0.000     0.000    -1.522     0.322    5
     2.000     1.000     2.000     0.000    -1.000     0.000     1.000     2.000     1.000     2.000     2.000     2.000     0.825     0.322    6
     0.000     0.000     0.000     0.000    -2.000    -2.000    -2.000     0.000    -2.000     0.000    -2.000     0.000    -1.227     0.322    7
     0.000    -1.000    -1.000     1.000    -2.000    -2.000    -3.000    -3.000    -3.000    -3.000     2.000     2.000    -1.233     0.322    8
     1.000     0.000     0.000     1.000     0.000     0.000     2.000     0.000     1.000    -1.000     1.000     1.000     0.122     0.322    9
     1.000    -3.000     2.000    -1.000     2.000     2.000     2.000     2.000     1.000     1.000     2.000     1.000     0.553     0.322   10
     2.000     1.000     0.000     1.000     1.000     2.000     1.000     0.000     1.000     0.000     1.000     0.000     0.194     0.322   11
     1.000    -3.000     1.000     0.000     0.000     1.000     1.000     2.000     1.000     3.000     1.000     1.000     0.374     0.322   12
     3.000     3.000     3.000     3.000     3.000     3.000     3.000     3.000     2.000     2.000     3.000     3.000     1.954     0.322   13
     2.000     2.000     2.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     2.000     1.230     0.322   14
     3.000     0.000     3.000    -2.000     0.000     1.000     0.000     0.000    -2.000     0.000     1.000    -1.000    -0.294     0.322   15
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.440     0.322   16
     0.000    -2.000    -2.000    -2.000    -2.000    -2.000     0.000     1.000    -1.000     0.000     1.000     0.000    -0.676     0.322   17
     0.000     1.000     2.000     3.000     2.000     1.000     2.000     1.000     3.000     3.000     2.000     3.000     1.261     0.322   18
     3.000     1.000    -1.000     2.000     2.000     3.000     0.000     2.000     1.000     1.000     0.000    -1.000     0.197     0.322   19
    -2.000    -2.000    -2.000    -2.000    -2.000    -2.000     0.000     0.000     0.000     0.000     1.000     1.000    -0.693     0.322   20
     0.000     0.000     1.000    -1.000    -3.000    -3.000     2.000    -3.000     1.000     0.000     1.000    -2.000    -0.598     0.322   21
     1.000     0.000     0.000    -2.000     0.000     1.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.417     0.322   22
     2.000    -3.000     1.000     0.000    -3.000     0.000     0.000     0.000     2.000     1.000     2.000     2.000     0.236     0.322   23
    -1.000    -1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     1.000     0.187     0.322   24
     2.000     2.000     2.000     0.000     0.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     1.133     0.322   25
    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -3.000    -1.000    -1.000    -2.000    -3.000    -2.527     0.322   26
     1.000     1.000    -1.000    -2.000    -3.000    -3.000     0.000     0.000     0.000     0.000     0.000     0.000    -0.598     0.322   27
     2.000    -1.000     2.000    -2.000    -2.000    -2.000     2.000     2.000     2.000     1.000     1.000     1.000     0.430     0.322   28
         *         *         *         *         *         *     0.000    -1.000    -1.000     0.000         *         *    -0.846     0.466   29
